@relation 'C__Users_User_Desktop_siteML_weka-weka.filters.unsupervised.attribute.StringToWordVector-R1-W1000-prune-rate-1.0-T-I-N0-L-stemmerweka.core.stemmers.NullStemmer-stopwords-handlerweka.core.stopwords.WordsFromFile -stopwords C:\\Users\\User\\Desktop\\portugueseST.csv-M1-O-tokenizerweka.core.tokenizers.WordTokenizer -delimiters \" \\r\\n\\t.,;:\\\'\\\"()?!\"-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T 0.0 -N -1'

@attribute 0.063automotivo+0.063pet+0.063instrumentos+0.063mã³veis+0.063ventilaã§ã£o... numeric
@attribute 0.081notebooks+0.081hipercard+0.081cosmã©ticos+0.081feriados+0.081chromecast... numeric
@attribute 0.076e-books+0.076cã³d+0.076lev+0.076acã£o+0.076gopro... numeric
@attribute -0.102magazineluiza-0.102lu-0.102luiza-0.102sacola-0.102saldã£o... numeric
@attribute 0.105 | +0.105paulo - sp+0.105iguatemi+0.105kobo-0.099carrinho... numeric
@attribute -0.118bonecos-0.112adicionado-0.1123938-1379+0.109atendimento-0.107carrinhos... numeric
@attribute '-0.105venda-0.08tire+0.08 4002-3050-0.079r-0.079windows...' numeric
@attribute 0.10790prã©-vendaa+0.107disneyde-0.106loja-0.106pedidos+0.105ewmix... numeric
@attribute -0.114aparelho-0.109olá-0.107respondido-0.107pergunta-0.107responda... numeric
@attribute 0.158multi+0.158casasbahia+0.142casas-0.128extra-0.123sexta-feira... numeric
@attribute -0.142formato-0.124produto-0.121-0.119atã©-0.117rpg... numeric
@attribute 0.115pop/rock-0.11314x-0.113recursos-0.10801-0.105r$... numeric
@attribute '-0.174jogadores+0.157tela-0.14personagens+0.138duraã§ã£o+0.13 min...' numeric
@attribute 0.176duos+0.176j7+0.175frontal+0.172core+0.161bateria... numeric
@attribute -0.173entrega-0.152cep-0.149distribuidora-0.139elenco-0.129classificaã§ã£o... numeric
@attribute -0.155cep+0.146capcom+0.145classificaã§ã£o-0.135editora+0.128marvel... numeric
@attribute -0.154personagens-0.149capcom-0.132livraria-0.126contras-0.126prós... numeric
@attribute -0.155electrolux+0.14151+0.12449-0.12cep+0.11834... numeric
@attribute -0.215hdmi-0.153cabo+0.152ã€+0.15119+0.12135... numeric
@attribute 0.201hdmi-0.166ediã§ã£o-0.158marvel-0.143electrolux-0.14livro... numeric
@attribute -0.185capcom-0.172hdmi+0.154alta-0.15388+0.148jogadores... numeric
@attribute -0.193filme+0.187marvel-0.181extras+0.167--0.158minutos... numeric
@attribute '0.2  98+0.18657+0.125livro-0.12339+0.12114...' numeric
@attribute -0.20955-0.18351-0.157149+0.135249+0.132pneu... numeric
@attribute -0.2258-0.15367+0.14619-0.141poderoso-0.129extras... numeric
@attribute -0.203--0.18electrolux-0.16690-0.1448+0.132fritadeira... numeric
@attribute 0.179249+0.158juros+0.15297-0.15duos-0.131material... numeric
@attribute 0.264pneu-0.236fritadeira-0.147-+0.141excelente-0.137livro... numeric
@attribute -0.249fritadeira+0.15314-0.13769-0.136wi-fi-0.12340... numeric
@attribute '0.185149-0.17751+0.176the+0.17 of+0.15799...' numeric
@attribute '-0.17633+0.17 149+0.14259-0.122nãºmero-0.121melhor...' numeric
@attribute -0.19j7-0.18779-0.176famã­lia+0.16651-0.15988... numeric
@attribute '-0.19155+0.17 69+0.16624+0.161espanhol-0.1675...' numeric
@attribute '-0.20390-0.173149+0.16676+0.144custo-benefã­cio+0.14 85...' numeric
@attribute -0.126modo-0.12474+0.122-+0.114violãªncia-0.11346... numeric
@attribute -0.177pneu-0.161ano-0.147alta+0.13799+0.134fritadeira... numeric
@attribute -0.159100+0.15558-0.13218-0.13poderoso-0.12190... numeric
@attribute '-0.17pneu-0.166vida-0.15499+0.15 95+0.14635...' numeric
@attribute 0.214of-0.15389+0.148the-0.14640+0.134pneu... numeric
@attribute -0.18292-0.15435+0.14441-0.141cabo-0.133pneu... numeric
@attribute 0.259of-0.17829-0.15489-0.142poderoso-0.14270... numeric
@attribute -0.191duos+0.16770-0.14465-0.128material-0.12167... numeric
@attribute '-0.14591+0.137hã¡-0.13329+0.12 sucesso+0.11865...' numeric
@attribute 0.18155+0.154-+0.131100-0.12490+0.124homem... numeric
@attribute -0.157cabo-0.141duos-0.129the-0.12559-0.11741... numeric
@attribute '0.19261+0.14855+0.14 bluetooth+0.13243-0.1289...' numeric
@attribute '0.14 filme+0.13627-0.135espanhol+0.13305+0.13234...' numeric
@attribute -0.17137-0.15967-0.15459+0.15347-0.1395... numeric
@attribute '0.18776-0.1775-0.1742-0.15190+0.14 149...' numeric
@attribute '0.23 79+0.18244+0.16 assunto+0.15625-0.15161...' numeric
@attribute '0.295poderoso+0.19 vida-0.17320+0.151of+0.14324...' numeric
@attribute -0.19442-0.18258-0.15179-0.15personagens+0.146vida... numeric
@attribute 0.239entrega-0.19698+0.18174+0.15491-0.136blu-ray... numeric
@attribute '0.14880+0.134amigo+0.13 28+0.125modo-0.123boa...' numeric
@attribute 0.1593+0.127espanhol-0.12627-0.124digital-0.124data... numeric
@attribute 0.18388-0.1456-0.12437+0.123enquanto-0.1232... numeric
@attribute 0.226espanhol+0.15913+0.15529-0.1462-0.138the... numeric
@attribute -0.19599+0.15131-0.13947-0.13760-0.132atã©... numeric
@attribute '-0.161atrã¡s+0.15829+0.15 13-0.132--0.13tempo...' numeric
@attribute 0.151vida+0.13969+0.137ano-0.129homem+0.12459... numeric
@attribute 0.17534+0.153michael+0.143vida+0.138espanhol-0.13248... numeric
@attribute 0.179vida+0.16648+0.15216-0.12443+0.1184... numeric
@attribute 0.194homem-0.183of-0.17michael+0.153atã©+0.138ediã§ã£o... numeric
@attribute -0.20415-0.135material+0.132atrã¡s+0.12857-0.12327... numeric
@attribute -0.157entrega-0.14267-0.13231+0.129espanhol+0.12238... numeric
@attribute 0.18710+0.15370+0.13546+0.12928+0.122possui... numeric
@attribute '0.17 volta-0.157personagens-0.151100-0.1476+0.1332x...' numeric
@attribute '-0.176michael+0.16 43+0.15419-0.15251-0.149ã ...' numeric
@attribute -0.155volta+0.132poderoso+0.1282-0.12834+0.121enquanto... numeric
@attribute -0.16516+0.16397+0.14801-0.14615-0.14598... numeric
@attribute 0.15674-0.14439-0.136of-0.1320-0.12714... numeric
@attribute '0.15788+0.14 15-0.129poderoso+0.12247+0.118entrega...' numeric
@attribute 0.173michael-0.1312x-0.1345+0.127disney+0.12732... numeric
@attribute @@class@@ {neg,pos}

@data
{0 19.806761,1 -9.414005,2 2.579548,3 1.888052,4 -0.594505,5 -0.739939,6 -1.690838,7 2.357746,8 2.916739,9 12.314553,10 0.508911,11 -6.835589,12 -14.501965,13 4.002749,14 -1.734732,15 7.562847,16 -6.302274,17 -0.606011,18 3.580244,19 -1.592891,20 -5.74022,21 2.21694,22 -0.993758,23 4.723031,24 -0.470581,25 0.215476,26 0.128314,27 1.942204,28 -2.73032,29 -2.955448,30 0.661529,31 1.153843,32 1.595142,33 -1.124746,34 -0.325038,35 -0.975981,36 0.999294,37 0.649737,38 -1.64374,39 -1.61782,40 0.812919,41 0.013476,42 -1.743613,43 1.287328,44 -0.351592,45 0.688095,46 -1.433325,47 1.010239,48 0.090035,49 -0.563847,50 -1.770702,51 -0.621554,52 -0.720896,53 0.303435,54 -0.809818,55 0.279656,56 0.206736,57 -0.40282,58 -0.025129,59 -0.18437,60 1.000577,61 1.094123,62 -0.786004,63 0.211943,64 -0.249091,65 0.266637,66 -0.061746,67 0.291229,68 0.87567,69 0.391049,70 -0.455987,71 -0.340538,72 0.326305}
{0 19.059365,1 -10.813544,2 0.434164,3 3.795147,4 -0.729644,5 0.649463,6 -0.214921,7 4.283844,8 6.172898,9 12.512905,10 -2.202479,11 0.674554,12 4.950179,13 -0.241917,14 -1.830604,15 3.019215,16 4.59211,17 -1.351058,18 -0.325682,19 -0.944387,20 2.130427,21 3.016813,22 3.417748,23 -0.003449,24 1.599924,25 1.150138,26 1.51808,27 -2.239183,28 1.32614,29 -0.201514,30 0.107177,31 1.943824,32 -1.373045,33 0.187802,34 -1.137781,35 -0.873164,36 0.463815,37 0.777916,38 0.613598,39 0.235051,40 1.067035,41 1.793316,42 0.058823,43 0.062,44 -0.617332,45 -1.647349,46 -1.499872,47 -0.276818,48 -2.505832,49 -1.237786,50 -0.108224,51 -1.551195,52 -1.715603,53 -0.074039,54 -2.441148,55 -1.552125,56 -0.002835,57 -0.878828,58 0.557874,59 0.796205,60 1.313203,61 -2.780423,62 0.902694,63 0.214248,64 1.538081,65 -1.258338,66 1.512685,67 2.594293,68 -1.683064,69 -0.808827,70 -1.842004,71 1.323514,72 -0.235635,73 pos}
{0 19.423351,1 -10.851334,2 2.376539,3 1.421224,4 -0.617546,5 -0.491441,6 -2.469494,7 3.356948,8 3.237518,9 12.250447,10 2.521752,11 -5.887373,12 -11.085296,13 1.942313,14 -1.743727,15 2.293259,16 0.086097,17 1.453167,18 -1.722706,19 4.061235,20 4.632043,21 -2.030961,22 -3.04342,23 -4.304157,24 3.428338,25 -0.604465,26 0.221675,27 -2.479813,28 0.269392,29 0.303841,30 0.887004,31 0.837077,32 -1.909896,33 -0.566578,34 -0.074976,35 -0.941774,36 1.006305,37 -1.676412,38 1.089122,39 1.43243,40 -2.17435,41 1.664183,42 0.040192,43 -0.657147,44 -1.346501,45 0.329294,46 0.87161,47 -0.440156,48 -0.958859,49 -1.818271,50 -0.844791,51 0.753975,52 -0.970715,53 -0.43602,54 -0.488987,55 -1.275352,56 0.527738,57 0.489979,58 0.532076,59 0.464332,60 -0.514865,61 1.728167,62 0.528851,63 -0.444485,64 0.386584,65 0.275731,66 -0.19105,67 1.321059,68 0.106425,69 -0.242681,70 0.143516,71 0.182288,72 -0.431251}
{0 18.178963,1 -12.234472,2 0.447699,3 3.571321,4 -1.081883,5 -0.271434,6 2.645325,7 5.726212,8 9.336277,9 12.072996,10 -0.632285,11 -0.297807,12 2.596744,13 -1.380113,14 -0.395075,15 0.990316,16 -1.150937,17 1.018674,18 0.363825,19 -2.11999,20 2.479596,21 3.169175,22 3.552802,23 1.081172,24 0.373306,25 0.303147,26 -0.424634,27 0.653432,28 0.701035,29 2.857949,30 0.91935,31 1.378654,32 -0.759615,33 0.49952,34 1.278557,35 0.837221,36 1.446917,37 3.756505,38 0.082371,39 0.600568,40 0.751802,41 -0.592084,42 -0.6322,43 -1.102474,44 -1.484083,45 0.158241,46 1.033401,47 1.042086,48 0.980663,49 -0.841177,50 2.6236,51 -0.232933,52 -1.87071,53 -0.34586,54 1.518608,55 1.215946,56 -0.266827,57 1.172002,58 0.099974,59 -1.44139,60 -2.27479,61 -0.523484,62 1.081328,63 -0.616488,64 -0.446132,65 -1.251278,66 0.507372,67 -0.868132,68 0.765067,69 0.07408,70 -1.498566,71 -1.319869,72 -0.168807,73 pos}
{0 17.364177,1 -11.724331,2 -0.431659,3 3.756748,4 -0.491177,5 0.411121,6 1.7854,7 4.595044,8 7.140424,9 12.357448,10 1.880342,11 2.914045,12 -1.078596,13 0.260389,14 2.246177,15 -4.709659,16 -0.969804,17 -4.42538,18 1.161173,19 -2.015685,20 -1.425638,21 -1.222965,22 0.266759,23 -0.530312,24 1.626158,25 -1.568602,26 0.762083,27 -0.163517,28 -0.718241,29 -0.070987,30 -0.764785,31 1.652942,32 0.551065,33 -0.947057,34 0.036905,35 -0.147998,36 2.032999,37 -0.394722,38 1.213464,39 0.777326,40 -0.330523,41 -2.323825,42 0.085413,43 -1.041864,44 0.954999,45 0.176749,46 -1.29157,47 -0.468814,48 0.203797,49 2.150676,50 -0.532875,51 1.506541,52 0.630334,53 -0.514499,54 0.012612,55 -0.635113,56 -0.07729,57 -0.134213,58 -0.08886,59 -0.608078,60 1.435012,61 0.088935,62 -0.305495,63 -0.111643,64 -2.428576,65 1.370791,66 0.500059,67 0.286898,68 0.365053,69 -1.076983,70 -0.875325,71 0.527546,72 -0.744108}
{0 17.929359,1 -12.318621,2 0.242233,3 3.352377,4 -1.164052,5 -0.273454,6 2.441409,7 6.040469,8 8.926611,9 12.176259,10 -0.833794,11 -0.351071,12 2.080452,13 -1.195762,14 -0.094465,15 1.131585,16 -0.304201,17 0.920879,18 1.14113,19 -1.611015,20 2.533351,21 2.295605,22 3.712745,23 1.184166,24 0.876324,25 0.112815,26 -0.255922,27 0.707139,28 0.541441,29 2.162284,30 1.200885,31 0.936181,32 -0.985955,33 0.213358,34 2.4344,35 0.776074,36 2.222948,37 4.024798,38 -0.550078,39 -0.528376,40 0.752033,41 -0.667971,42 -0.569224,43 -1.996008,44 -1.045978,45 -0.243998,46 0.158911,47 1.544513,48 0.678896,49 0.007554,50 0.368666,51 0.437258,52 -2.103924,53 0.633999,54 0.420917,55 1.016062,56 -0.390923,57 1.949598,58 0.556356,59 -1.394949,60 -1.766481,61 0.387749,62 1.111675,63 -0.867094,64 -0.690417,65 -0.806852,66 0.65624,67 -1.960928,68 -0.26093,69 0.421065,70 -0.074709,71 -0.972291,72 0.708756,73 pos}
{0 18.975779,1 -11.728006,2 1.343886,3 1.504371,4 0.394054,5 -0.56695,6 -1.646682,7 2.399802,8 4.098746,9 12.81022,10 2.435311,11 -2.485093,12 -6.108239,13 -2.099797,14 1.438581,15 -5.87781,16 2.4078,17 2.981043,18 -0.443006,19 -1.81321,20 -2.786174,21 -1.301604,22 0.26559,23 -3.348795,24 -2.973176,25 -2.495299,26 2.327926,27 -0.170531,28 -0.14463,29 -2.692481,30 -0.888886,31 -0.204059,32 3.387425,33 1.212791,34 -0.095822,35 2.392661,36 -1.478674,37 0.401098,38 3.023607,39 -2.037048,40 -0.524429,41 -1.541329,42 -0.356507,43 1.446979,44 1.220296,45 -0.255936,46 1.120579,47 1.527156,48 -0.227685,49 1.447609,50 0.949703,51 0.545688,52 -2.517815,53 0.451864,54 0.819957,55 0.880483,56 -0.488355,57 -0.947931,58 -0.248323,59 -0.229302,60 0.691647,61 -0.098553,62 -0.257252,63 0.057012,64 0.301281,65 0.989476,66 -0.907235,67 -0.278044,68 -0.615652,69 -0.812199,70 -1.792667,71 -0.23668,72 1.902333}
{0 17.910797,1 -12.256448,2 0.071617,3 3.618279,4 -0.485835,5 -0.023632,6 3.039191,7 5.605658,8 9.520707,9 11.368649,10 -1.244333,11 -0.074181,12 4.630699,13 -0.520331,14 -0.060159,15 0.865161,16 -1.224499,17 -1.414997,18 0.755595,19 -0.41164,20 1.810443,21 -0.30218,22 1.006766,23 1.279477,24 0.807408,25 -0.793421,26 0.4098,27 -0.139275,28 -0.252073,29 0.783976,30 -0.466566,31 1.201949,32 0.095927,33 -0.384424,34 -0.045488,35 -1.008136,36 0.509935,37 -1.949575,38 -0.41079,39 0.985621,40 0.008593,41 -0.109182,42 -0.686501,43 -1.244825,44 -1.076252,45 0.268493,46 0.924483,47 1.264575,48 -0.282498,49 -0.018354,50 -0.853772,51 -0.111597,52 0.687015,53 0.448912,54 -0.042367,55 -0.698583,56 -2.673124,57 -0.35862,58 -1.222174,59 -0.125208,60 0.199623,61 1.456037,62 1.222708,63 0.46226,64 -0.26412,65 1.539574,66 -0.274569,67 0.450259,68 -1.309757,69 1.412555,70 -0.112059,71 1.159232,72 -0.64977,73 pos}
{0 23.897605,1 -8.165798,2 1.577278,3 -0.370576,4 1.229302,5 5.550219,6 -10.618882,7 -4.123177,8 -11.676113,9 13.282078,10 -3.983812,11 0.552456,12 3.800684,13 3.053782,14 1.236226,15 0.670219,16 3.905467,17 2.711155,18 -2.392256,19 3.818933,20 -7.438843,21 -1.525728,22 -1.101815,23 2.988246,24 0.849648,25 5.12103,26 4.067855,27 -0.07836,28 6.963269,29 0.92383,30 -3.427434,31 -3.961541,32 0.976559,33 1.944448,34 -3.789521,35 -1.144526,36 5.431902,37 -0.443035,38 1.86495,39 1.54351,40 0.895443,41 2.453431,42 -0.631838,43 1.102891,44 -1.239812,45 2.430039,46 -0.210681,47 -2.313033,48 0.189088,49 0.876734,50 1.052826,51 -1.342894,52 1.269193,53 -0.109392,54 1.990604,55 -1.404023,56 1.920241,57 0.358734,58 -0.095439,59 -1.467029,60 -3.231755,61 1.648879,62 1.148802,63 -0.30892,64 -0.962986,65 -0.98246,66 -1.291848,67 -0.371338,68 -0.470846,69 0.504827,70 -0.093096,71 0.659974,72 2.186788}
{0 17.549871,1 -11.86253,2 0.21802,3 4.125777,4 -1.023682,5 0.523366,6 2.704265,7 5.432878,8 8.967014,9 11.771798,10 -1.314076,11 0.344272,12 3.961558,13 -0.996506,14 1.596887,15 -0.253065,16 -0.967414,17 -1.97067,18 1.533096,19 -0.887645,20 0.714581,21 -0.481406,22 0.506848,23 -0.413562,24 0.75992,25 -1.046339,26 -1.133123,27 -0.306372,28 1.500579,29 0.322924,30 -0.297183,31 -0.793339,32 -0.510643,33 -0.149284,34 0.180845,35 -0.597891,36 0.519575,37 1.122764,38 0.53269,39 -0.307081,40 -1.36109,41 -0.9683,42 0.221956,43 -1.423864,44 -0.777147,45 0.653814,46 -0.945105,47 0.196209,48 1.078373,49 1.229509,50 -2.408693,51 0.706681,52 2.209732,53 -0.567487,54 1.194137,55 -0.779698,56 0.145139,57 0.754152,58 0.092075,59 -0.371214,60 -0.145742,61 -0.215655,62 -0.87398,63 -1.875426,64 -0.134629,65 2.067429,66 0.377891,67 -0.599497,68 -0.419997,69 -0.261924,70 1.529531,71 0.652696,72 -0.899169,73 pos}
